Title,Poem,Poet,Genre
Tone,"(1)Nothing that exists can betemporal; still I come to lay this stickupon these altars, those threedefinitions of sun, the border and thickmeasure of lost perfection.Sun must acknowledge this state, an iconicmessage, abrupt inventionof death; we shall call it an accomplishment,or a causal relation.The mask measures my intenton a patch of earth, a spentmeasure, a return, that redunruly seat of the dead.                                   (2)Could the Cusan speak of love as a return,a plentitude of absence, an imprecisecount of the dark from which he would always turn?The binukedine know how to enticethe expansive energy flowing from grace,an absolute measure, a stellar device.I would propose a failed sun, a sacrificethat spins an ambiguous body in time,in trust to a sacred field, death's other price.Call this, too, an intrinsic order, a rhymeof resuscitated bodies, pure, sublimein their perturbative intent, a concernof rhythms and designs set upon an urn.                                   (3)This must be what is the case,nani in the manifold,dannu, milestone, the embraceof albarga mask, the colddesign the solstice will prove.Nothing under law will hold.What established light will moveor change the structure of light,light an order to disprove?Speak of the possible mask, of its finitecorrelation to love, the logical slightderivation and mark of corrupted space,that fugitive event that will leave no trace.                                            (4)Bogged in a bone order, syntax and substanceof the passing world, I placemy duge in the fragile arms of silence.So much for the quick embraceof the ceasing instant, the chaste argumentonly the dead can efface.Say that I have written my absolute descentand stable transformationthrough a sounding tone to one that now is spent.Praise this instant collation,paradox and migrationof souls without assuranceor the due gift of distance.",Jay Wright,Fear
On Gut,"Gut eats all day and lechers all the night; So all his meat he tasteth over twice; And, striving so to double his delight, He makes himself a thoroughfare of vice. Thus in his belly can he change a sin: Lust it comes out, that gluttony went in.",Ben Jonson,Anger
Gravelly Run,"I don’t know somehow it seems sufficientto see and hear whatever coming and going is,losing the self to the victory   of stones and trees,of bending sandpit lakes, crescentround groves of dwarf pine:for it is not so much to know the self   as to know it as it is known   by galaxy and cedar cone,as if birth had never found itand death could never end it:the swamp’s slow water comes   down Gravelly Run fanning the long      stone-held algalhair and narrowing roils between   the shoulders of the highway bridge:holly grows on the banks in the woods there,   and the cedars’ gothic-clustered   spires could makegreen religion in winter bones:so I look and reflect, but the air’s glass   jail seals each thing in its entity:no use to make any philosophies here:   I see nogod in the holly, hear no song fromthe snowbroken weeds: Hegel is not the winter   yellow in the pines: the sunlight has never   heard of trees: surrendered self among   unwelcoming forms: stranger,hoist your burdens, get on down the road.",A. R. Ammons,Fear
More than one man has reached up my skirt,"I’ve stopped asking:                                                       ¿Why?             I’ve let a man whistle                           from the table for more beer,& brought it to him                           with a smile. I’ve slappeda man & ran                           while he laughed —              atrevida.I’ve had a miscarriage. I’ve let a man                                       kiss meafter an abortion                                       & comforted his hot tears.I’ve done these things,                                                       while other girlswork in maquilas                           piecing togetherDell computer boards,                                       while other girlswork in brothels,                           & cake foundation acrosstheir bruised arms,                                       while other girls                           ride the bus home alone             at night, every night,while other girls are found             wearing clothes                           that don’t belong to them, or noclothes at all. I’ve done all of this                                       while other girls are found                           with puta                                       written in blood acrosstheir broken bellies.             My mother used to covermy eyes                           when we’d walk by girlsworking the corner,             & say:                                       See how lucky you are,not to have to work                           like they do? I have been             muy puta,                                       have been called puta.Yes, I’d say, very lucky.",Natalie Scenters-Zapico,Love
Goodbye to Tolerance,"Genial poets, pink-faced   earnest wits—you have given the world   some choice morsels,gobbets of language presentedas one presents T-bone steakand Cherries Jubilee.   Goodbye, goodbye,                            I don’t careif I never taste your fine food again,   neutral fellows, seers of every side.   Tolerance, what crimesare committed in your name.And you, good women, bakers of nicest bread,   blood donors. Your crumbschoke me, I would not wanta drop of your blood in me, it is pumped   by weak hearts, perfect pulses that never   falter: irresponsiveto nightmare reality.It is my brothers, my sisters,whose blood spurts out and stopsforeverbecause you choose to believe it is not your business.Goodbye, goodbye,your poemsshut their little mouths,   your loaves grow moldy,   a gulf has split                     the ground between us,and you won’t wave, you’re lookinganother way.We shan’t meet again—unless you leap it, leaving   behind you the cherished   worms of your dispassion,   your pallid ironies,your jovial, murderous,   wry-humored balanced judgment,leap over, un-balanced? ... thenhow our fanatic tearswould flow and mingle   for joy ...",Denise Levertov,Joy
Sunday: New Guinea,"The bugle sounds the measured call to prayers,The band starts bravely with a clarion hymn,From every side, singly, in groups, in pairs,Each to his kind of service comes to worship Him.Our faces washed, our hearts in the right place,We kneel or stand or listen from our tents;Half-naked natives with their kind of graceMove down the road with balanced staffs like mendicants.And over the hill the guns bang like a doorAnd planes repeat their mission in the heights.The jungle outmaneuvers creeping warAnd crawls within the circle of our sacred rites.I long for our disheveled Sundays home,Breakfast, the comics, news of latest crimes,Talk without reference, and palindromes,Sleep and the Philharmonic and the ponderous Times.I long for lounging in the afternoonsOf clean intelligent warmth, my brother’s mind,Books and thin plates and flowers and shining spoons,And your love’s presence, snowy, beautiful, and kind.",Karl Shapiro,Joy
This Ecstasy,"It’s not paradise I’m looking forbut the naming I hardly gave a thought to.Call it the gift I carried in my lonelinessamong the animals before I startedlistening to the news. Call it the hintI had about the knowledge that would explode.In the meantime, which is real timeplus the past, you’re swishing your skirtand speaking French, which is morethan I can take, which I marvel atlike a boy from the most distant seatin the Kronos Dome, where I am oneof so many now I see the pointof falling off. There’s not enough seatsfor us all to attend the eschaton.This ecstasy that plants beautyon my tongue, so that if it werea wing, I’d be flying with the quicknessof a hummingbird and grace of a heron,is so much mercy in light of the darknessthat comes. Who would say consolation?Who would say dross? Not that anyonewould blame them. All night I hearso many echoes in the forest I’m temptedto look back, to save myself in hindsight,where all I see is the absence of me.Where all I hear is your voice,which couldn’t be more strange.How to go on walking hand in handwithout our bodies on the pathwe made for our feet, talking, talking?",Chard DeNiord,Surprise
Preludes,"IThe winter evening settles downWith smell of steaks in passageways.Six o’clock.The burnt-out ends of smoky days.And now a gusty shower wrapsThe grimy scrapsOf withered leaves about your feetAnd newspapers from vacant lots;The showers beatOn broken blinds and chimney-pots,And at the corner of the streetA lonely cab-horse steams and stamps.And then the lighting of the lamps.IIThe morning comes to consciousnessOf faint stale smells of beerFrom the sawdust-trampled streetWith all its muddy feet that pressTo early coffee-stands.With the other masqueradesThat time resumes,One thinks of all the handsThat are raising dingy shadesIn a thousand furnished rooms.IIIYou tossed a blanket from the bed,You lay upon your back, and waited;You dozed, and watched the night revealingThe thousand sordid imagesOf which your soul was constituted;They flickered against the ceiling.And when all the world came backAnd the light crept up between the shuttersAnd you heard the sparrows in the gutters,You had such a vision of the streetAs the street hardly understands;Sitting along the bed’s edge, whereYou curled the papers from your hair,Or clasped the yellow soles of feetIn the palms of both soiled hands.IVHis soul stretched tight across the skiesThat fade behind a city block,Or trampled by insistent feetAt four and five and six o’clock;And short square fingers stuffing pipes,And evening newspapers, and eyesAssured of certain certainties,The conscience of a blackened streetImpatient to assume the world.I am moved by fancies that are curledAround these images, and cling:The notion of some infinitely gentleInfinitely suffering thing.Wipe your hand across your mouth, and laugh;The worlds revolve like ancient womenGathering fuel in vacant lots.",T. S. Eliot,Sadness
To My Father on His Birthday,"Amidst the days of pleasant mirth,That throw their halo round our earth;Amidst the tender thoughts that riseTo call bright tears to happy eyes;Amidst the silken words that moveTo syllable the names we love;There glides no day of gentle blissMore soothing to the heart than this!No thoughts of fondness e'er appearMore fond, than those I write of here!No name can e'er on tablet shine,My father! more beloved than thine!'Tis sweet, adown the shady past,A lingering look of love to cast—Back th' enchanted world to call,That beamed around us first of all;And walk with Memory fondly o'erThe paths where Hope had been before—Sweet to receive the sylphic soundThat breathes in tenderness around,Repeating to the listening earThe names that made our childhood dear—For parted Joy, like Echo, kind,Will leave her dulcet voice behind,To tell, amidst the magic air,How oft she smiled and lingered there.",Elizabeth Barrett Browning,Love
Advice to Her Son on Marriage,,Mary Barber,Anger
Me and My Pharaoh . . .,"[facsimile]                                                                 He awoke,          fully charged. You                                                       can                                         bring water to a horse but you can’tmake it ride. All poetry is conceptual                                                      but some is more                                                                              conceptual                        than     others.                                   Ambient difficulty leads to poetic            license. Poetry has                                                    no purpose                                                                   &                                         that is not                            its                                                                                      pur-                                           pose. You have to get over          be-in-                  g over. April is                                                     the cruelest month for poetry. And May                                                                     is not much better, is                                                           it?                            Why write in prose what you could write as easily                                                                                    as             poetry?                              The poem is a crutch that allows us to think with                                                                                                  and throu-                              g-                h it.Every poem must have 13 distinct frames, devices, motifs, styles, forms, or                                                                                                         concepts.                                                        Poetry emasculates prose.                        The body: can’t live with it, can’t live without       i-t.I want to be understood,                      just not by you.                                  Last week’s weather is worth a pound of salt, just                                   like the lot of  wives or the snowy pillars of  Danton.                            There’s not a crowd in the sky. Familiarity breeds                   content. Yesterday’s                                               weather is as            beyond reach as tomorrow’s                                                                                                  dreams. The                                                                             move away from close                                                               reading often got drowned in thebathwater, even if   we could never find the baby. I wouldn’t  join a poetic        tradition that would recognize me as                                                                                                                           a                                                                     member. The wheel needs                    to be reinvented because we’re stillstuck.      I am for almost new art (gently used forms) — easier on the pocketbook and on                                                                              the b-                              rain (undergarments not accepted). The only true                                                                         innovation is God’s. Others                                                                 pay cash.                               This is a lie and that’s the truth.                                             Better truth in the shade than a lie in the sun.                              The taste of madeleine ain’t             what it used to be.                                                  (taint what it used to be)                   ...     all alone and feeling                                           ...                            Operators are on duty. Call now.As dry as a bubble, as expectant as the dead                             of night. Without product placement, poetry                              as we know it                                                                              cannot sur- vive.                       Poetry should not be in the service of art any more than religion, ideology,                        or morality. Poetry should be in the service of nothing — and not even                        that.                        If  you can identify someone as gnostic they are probably                     notgnostic enough,                                                      for my money.            I believe in my disbelief, have faith in my reason.                       The sacred in a poem is nowhere seen and everywhere                       felt. There’s                more to transgression than                                                                           ritual, but not enoughmore. There is more               to liturgy than doctrine,       once in a blue                                                                m-                                                                                     oo-                    n.I left my purpose in my other pants.       You’re not the only paddle in the ocean, shadow in the dark, line in        the poem, lobster in the trap, pot on the stove, wheel on the truck,        letter on the keypad, scythe in the field, lever on the controls, cloud        in the sky, fruit in the tree, rat in the lab.                 Reality is usually a poor copy of the imitation. The original            is an echo of what is yet to be.                                  Time is neither linear nor circular; it is excremental.       Beauty is the memory of the loss of time.                                    Memory                                     is                                     the                                     reflection                                     of                                     the                                     loss                                     of                                     beauty.               American poetry suffers from its lack of     uncreativity. I have no faith in faith, or hope                                  for hope, no belief  in belief, no doubt of doubt.                                                         They say God is in the details. That’s                                                   because the Devil has the rest                                   covered.God is weak and imaginary — a flickering possibility. The dogma of an omniscient and omnipotent God maligns hope and denies the sacred, as it turns its back on the world.        God has no doctrine, no morality, no responsibility. To sin against    God is to use that name to justify any action or prohibition, whether    murder or martyrdom.I’ve got authenticity, you’ve got dogma  ...    proclaimeth the Lord.                                                     Saying one more time:                                                     It’s true but I don’t believe it                                                     I believe it but it’s not so.                           “My logic is all in the melting pot.”                                                                 [wittgenstein]Better an old cow than a dead                           horse. Alzheimer’s:                                        What’s that again? So it turns out I’m               not a bull in a china shop but china in a                                          bulls’                                                             shop. Sometimes a penis is just a s-                                                            y-                              m-                                                    b-                      ol.In their gloom, the Jews go and comeTalking of Bergen-Belsen.                                         (I saw time but it didn’t return my gaze.)             My heart is like a water bucket that returns from the river                                                                           seven times full eighth                          empty.                                     Zeno and Heraklitus are my father’s milk.                          I think with the poem not thr-                                     ou-       g-h                                                  it. Turns                                    of phrase / my stock in              trade. Negative              capability: sure.              But also               positive                                                              incapacity. I always                                                                         hear echoes and reverseswhen I am listening to language. It’s                                               the field of my consciousness.                                When we stop making — manufacturing,                                                  imposing — sense then we have a chance                   to find it.A professional poet throws nothing out except the eggshells and the coffee grounds.                  I think the idea is to be unoriginal but in as original a way a-                  s possible.           Poets are the Pershings                                       of the imaginary: piercing                         themselves as they perish                                                                          in spite of native ground.                                                            I wish I was still in my pajamas.The unironized life is not worth living.                                                       When people tell that joke, three Jews                     four opinions, what they don’t say is that two of them,                     the schmucks, have the same opinion, while the third ...    Ouzo something to me and it ain’t pretty.          Absinthe makes the heart gro- w                          foreigner.“Throughout this prospectus, ‘object’ refers to the digitized file.”Yesterday is a stone’s throw from tomorrow              & each new year a vast canvas of impossibility.                                        Kalip in North Folk, you’re on the air.               Stand clear of the clo-                                   sing                                                                          doors.•                                                     Too much is stillnot enough.•                                                     Blameless as a sheep at slaughter, am I                                                     Guileless as the toll of tidal tug                                                                  There are no absolutes except this.                                       It was a veritable bow across the shot.                           “Sacred means saturated with being.”                                                                 [berssenbrugge] So does scared. So does scarred.",Charles Bernstein,Fear
Staying Quiet,"Once, a man named a thing beautiful & so we wore it,buried it, turned it into currency. Somewhere, maybe here, maybe now,I stand completely still until he looks in my direction. Sometimes I don’tbelieve I exist until someone calls me beautiful. Sometimesany warm thing will do. Sometimes it’s me, a warm thing in the lowlight. Beautiful is what the man called me after he didwhat he wanted with — I’m running out of ways to describe it — my body, my silence. Beautiful. Why, I ask, in order to loveyourself must you, first, be loved? A bone sucked cleanof its marrow. A trail of ants magnified into ash. & of course,I’m asking no one. & of course, I know the answer.Of course, I know it’s not me they’re looking for, the men, I mean.& I wished he didn’t feel the need to speak, really wished — like me — he just kept quiet, but no, he had to speak, he had to say beautiful — & now, goddamnit, my body appears, trapped in the long tunnelof a telescope. & now I am here attending the aftermathof my own ruin, with nothing but beautiful to keep me company.Maybe he meant the city beyond the window.Maybe he was talking to himself. Maybe beautiful, as in good job,as in look what I just did with my own two hands.",Hieu Minh Nguyen,Joy
The Figurehead,"This that is washed with weed and pebblestoneCurved once a dolphin’s length before the prow,And I who read the land to which we boreIn its grave eyes, question my idol now,What cold and marvelous fancy it may keep,Since the salt terror swept us from our course,Or if a wisdom later than the storm,For old green ocean’s tinctured it so deep;And with some reason to me on this strandThe waves, the ceremonial waves have come,And stooped their barbaric heads, and all flung outTheir glittering arms before them, and are gone,Leaving the murderous tribute lodged in sand.",Léonie Adams,Fear
"The Girl Grew and Grew, Her Mother Couldn’t Stop It","The girl grew and grew, her mother couldn’t stop it; it terrorized.    What would the finger-dance do? Kindergarten art a buffet of markers,gluings of stuffs to seasonally-keyed paper, Elmer’s pools drying clear.    A stapling and testing of cylinders versus spheres versus cubesfor kinetic and entropic possibilities, stuffing balled newspaper    into paper-bag dragons, two sweet silver elephants with heads too smalland trunks too long, situated off-center, snuffling flowers. And silver rain.    And 16 silver hearts stacked vertically and strips of masking tape, coloredin reverse rainbow. Unnamable tendrils diffusing to scribbles. A bird.    Another bird, more rain, peace signs, a horse with sideways-flowing mane,and knowledge: that the sky’s full of black-struck Ms and Ws, drifting    clouds; that her kitty cats watch sunsets; sky doesn’t reachdown to meet the earth; mother shrinks to the size of a penis.",Daisy Fried,Love
We Never Know,"He danced with tall grassfor a moment, like he was swayingwith a woman. Our gun barrelsglowed white-hot.When I got to him,a blue haloof flies had already claimed him.I pulled the crumbled photographfrom his fingers.There's no other wayto say this: I fell in love.The morning cleared again,except for a distant mortar& somewhere choppers taking off.I slid the wallet into his pocket& turned him over, so he wouldn't bekissing the ground.",Yusef Komunyakaa,Joy
This World is not Conclusion (373),"This World is not Conclusion.A Species stands beyond - Invisible, as Music -But positive, as Sound -It beckons, and it baffles - Philosophy, dont know - And through a Riddle, at the last - Sagacity, must go -To guess it, puzzles scholars -To gain it, Men have borneContempt of GenerationsAnd Crucifixion, shown -Faith slips - and laughs, and rallies - Blushes, if any see - Plucks at a twig of Evidence - And asks a Vane, the way - Much Gesture, from the Pulpit -Strong Hallelujahs roll - Narcotics cannot still the ToothThat nibbles at the soul -",Emily Dickinson,Fear
"In Memory of the Unknown Poet, Robert Boardman Vaughn","But the essential advantage for a poet is not, to have a beautiful world with which to deal: it is to be able to see beneath both beauty and ugliness; to see the boredom, and the horror, and the glory.T. S. ELIOTIt was his story. It would always be his story.   It followed him; it overtook him finally—The boredom, and the horror, and the glory.Probably at the end he was not yet sorry,Even as the boots were brutalizing him in the alley.   It was his story. It would always be his story,Blown on a blue horn, full of sound and fury,   But signifying, O signifying magnificently   The boredom, and the horror, and the glory.I picture the snow as falling without hurryTo cover the cobbles and the toppled ashcans completely.   It was his story. It would always be his story.Lately he had wandered between St. Mark’s Place and the Bowery,   Already half a spirit, mumbling and muttering sadly.   O the boredom, and the horror, and the glory.All done now. But I remember the fieryHypnotic eye and the raised voice blazing with poetry.   It was his story and would always be his story—The boredom, and the horror, and the glory.",Donald Justice,Sadness
A March,"Lesson of the day: Syria and Styria.For Syria, read: His conquering banner shook from Syria.And for Styria: Look at this harp of  blood, mapping.Now I am tuned. I am going to go abovemy voice for the sake of the forest shakenon the bitumen. You can see stars in the skulls,winking, synapses, intermittent, on edgeof shriek — perhaps a cluster of fir, birches? — Anyways. Don’t get too hung upon the terms; they have entropyin common, bad for the public weal,those obtuse centurions in the flareof the bougainvillea, their patent-seekinggift kindled. Divers speech. Cruelty.Justice. Never mind, but dopay attention to the skirmish — the whitepanther that flitters up the pole — its shade grows large on the ground.",Ishion Hutchinson,Fear
Litany in Which Certain Things Are Crossed Out,"Every morning the maple leaves.                               Every morning another chapter where the hero shifts            from one foot to the other. Every morning the same bigand little words all spelling out desire, all spelling out                                             You will be alone always and then you will die.So maybe I wanted to give you something more than a catalog         of non-definitive acts,something other than the desperation.                   Dear So-and-So, I’m sorry I couldn’t come to your party.Dear So-and-So, I’m sorry I came to your party         and seduced youand left you bruised and ruined, you poor sad thing.                                                         You want a better story. Who wouldn’t?A forest, then. Beautiful trees. And a lady singing.                  Love on the water, love underwater, love, love and so on.What a sweet lady. Sing lady, sing! Of course, she wakes the dragon.            Love always wakes the dragon and suddenly                                                                                               flames everywhere.I can tell already you think I’m the dragon,                that would be so like me, but I’m not. I’m not the dragon.I’m not the princess either.                           Who am I? I’m just a writer. I write things down.I walk through your dreams and invent the future. Sure,               I sink the boat of love, but that comes later. And yes, I swallow         glass, but that comes later.                                                            And the part where I push youflush against the wall and every part of your body rubs against the bricks,            shut upI’m getting to it.                                    For a while I thought I was the dragon.I guess I can tell you that now. And, for a while, I thought I was                                                                                                the princess,cotton candy pink, sitting there in my room, in the tower of the castle,          young and beautiful and in love and waiting for you withconfidence            but the princess looks into her mirror and only sees the princess,while I’m out here, slogging through the mud, breathing fire,                                                               and getting stabbed to death.                                    Okay, so I’m the dragon. Big deal.          You still get to be the hero.You get magic gloves! A fish that talks! You get eyes like flashlights!                  What more do you want?I make you pancakes, I take you hunting, I talk to you as if you’re            really there.Are you there, sweetheart? Do you know me? Is this microphone live?                                                       Let me do it right for once,             for the record, let me make a thing of cream and stars that becomes,you know the story, simply heaven.                   Inside your head you hear a phone ringing                                                               and when you open your eyesonly a clearing with deer in it. Hello deer.                               Inside your head the sound of glass,a car crash sound as the trucks roll over and explode in slow motion.             Hello darling, sorry about that.                                                       Sorry about the bony elbows, sorry welived here, sorry about the scene at the bottom of the stairwell                                    and how I ruined everything by saying it out loud.            Especially that, but I should have known.You see, I take the parts that I remember and stitch them back together            to make a creature that will do what I sayor love me back.                  I’m not really sure why I do it, but in this version you are notfeeding yourself to a bad man                                                   against a black sky prickled with small lights.            I take it back.The wooden halls like caskets. These terms from the lower depths.                                                I take them back.Here is the repeated image of the lover destroyed.                                                                                               Crossed out.            Clumsy hands in a dark room. Crossed out. There is somethingunderneath the floorboards.                   Crossed out. And here is the tabernacle                                                                                                reconstructed.Here is the part where everyone was happy all the time and we were all               forgiven,even though we didn’t deserve it.                                                                    Inside your head you heara phone ringing, and when you open your eyes you’re washing up            in a stranger’s bathroom,standing by the window in a yellow towel, only twenty minutes away                           from the dirtiest thing you know.All the rooms of the castle except this one, says someone, and suddenly                                                                                              darkness,                                                                                     suddenly only darkness.In the living room, in the broken yard,                                  in the back of the car as the lights go by. In the airport          bathroom’s gurgle and flush, bathed in a pharmacy ofunnatural light,             my hands looking weird, my face weird, my feet too far away.And then the airplane, the window seat over the wing with a view                                                            of the wing and a little foil bag of peanuts.I arrived in the city and you met me at the station,          smiling in a way                    that made me frightened. Down the alley, around the arcade,          up the stairs of the buildingto the little room with the broken faucets, your drawings, all your things,                                                I looked out the window and said                                This doesn’t look that much different from home,            because it didn’t,but then I noticed the black sky and all those lights.                                           We walked through the house to the elevated train.            All these buildings, all that glass and the shiny beautiful                                                                                             mechanical wind.We were inside the train car when I started to cry. You were crying too,            smiling and crying in a way that made meeven more hysterical. You said I could have anything I wanted, but I                                                                                      just couldn’t say it out loud.Actually, you said Love, for you,                                 is larger than the usual romantic love. It’s like a religion. It’s                                                                                                 terrifying. No one                                                                                 will ever want to sleep with you.",Richard Siken,Sadness
Master Class,"In a visually spectacular dream someyears back, I took Paul Klee’s posthumousclass in poetry and painting. What luck tobe swept with the elect across the oceanthat night to environs that could onlybe by Klee. Klee? you protest. Surelythe dreamer is everyone in her dream.",Kate Farrell,Surprise
American Wedding,"In america,I place my ringon your cockwhere it belongs.No horsemenbearing terror,no soldiers of doomwill swoop inand sweep us apart.They’re too busylooting the landto watch us.They don’t knowwe need each othercritically.They expect us to call in sick,watch television all night,die by our own hands.They don’t knowwe are becoming powerful.Every time we kisswe confirm the new world coming.What the rose whispersbefore bloomingI vow to you.I give you my heart,a safe house.I give you promises other thanmilk, honey, liberty.I assume you will alwaysbe a free man with a dream.In america,place your ringon my cockwhere it belongs.Long may we liveto free this dream.",Essex Hemphill,Joy
Alexandreis,"I sing the man that never equal knew, Whose mighty arms all Asia did subdue, Whose conquests through the spacious world do ring, That city-raser, king-destroying king, Who o’er the warlike Macedons did reign, And worthily the name of Great did gain. This is the prince (if fame you will believe, To ancient story any credit give.) Who when the globe of Earth he had subdued, With tears the easy victory pursued; Because that no more worlds there were to win, No further scene to act his glories in.     Ah that some pitying Muse would now inspire My frozen style with a poetic fire, And raptures worthy of his matchless fame, Whose deeds I sing, whose never fading name Long as the world shall fresh and deathless last, No less to future ages, then the past. Great my presumption is, I must confess, But if I thrive, my glory’s ne’er the less; Nor will it from his conquests derogate A female pen his acts did celebrate. If thou O Muse wilt thy assistance give, Such as made Naso and great Maro live, With him whom Melas’ fertile banks did bear, Live, though their bodies dust and ashes are; Whose laurels were not fresher, than their fame Is now, and will for ever be the same. If the like favor thou wilt grant to me, O Queen of Verse, I’ll not ungrateful be, My choicest hours to thee I’ll dedicate, ’Tis thou shalt rule, ’tis thou shalt be my fate. But if coy goddess thou shalt this deny, And from my humble suit disdaining fly, I’ll stoop and beg no more, since I know this, Writing of him, I cannot write amiss: His lofty deeds will raise each feeble line, And god-like acts will make my verse divine.     ’Twas at the time the golden sun doth rise, And with his beams enlights the azure skies, When lo a troop in silver arms drew near, The glorious sun did nere so bright appear; Dire scarlet plumes adorned their haughty crests, And crescent shields did shade their shining breasts; Down from their shoulders hung a panther’s hide, A bow and quiver rattled by their side; Their hands a knotty well tried spear did bear, Jocund they seemed, and quite devoid of fear. These warlike virgins were, that do reside   Near Thermodon’s smooth banks and verdant side, The plains of Themiscyre their birth do boast, Thalestris now did head the beauteous host; She emulating that illustrious dame, Who to the aid of Troy and Priam came, And her who the Retulian prince did aid, Though dearly both for their assistance paid. But fear she scorned, nor the like fate did dread, Her host she often to the field had led, As oft in triumph had returned again, Glory she only sought for all her pain.     This martial queen had heard how loudly fame, Echoed our conqueror’s redoubted name, Her soul his conduct and his courage fired, To see the hero she so much admired; And to Hyrcania for this cause she went, Where Alexander (wholly then intent On triumphs and such military sport) At truce with war held both his camp and court. And while before the town she did attend Her messengers return, she saw ascend A cloud of dust, that covered all the sky, And still at every pause there stroke her eye. The interrupted beams of burnished gold, As dust the splendor hid, or did unfold; Loud neighings of the steeds, and trumpets’ sound Filled all the air, and echoed from the ground; The gallant Greeks with a brisk march drew near, And their great chief did at their head appear. And now come up to th’Amazonian band, They made a halt and a respectful stand: And both the troops (with like amazement strook) Did each on other with deep silence look. Th’heroic queen (whose high pretence to war Cancelled the bashful laws and nicer bar Of modesty, which did her sex restrain) First boldly did advance before her train, And thus she spake. All but a god in name, And that a debt time owes unto thy fame.          This was the first essay of this young lady in          poetry, but finding the task she had undertaken          hard, she laid it by till practice and more time          should make her equal to so great a work.",Anne Killigrew,Sadness
City Elegies,"I. The Day DreamersAll day all over the city every personWanders a different city, sealed intactAnd haunted as the abandoned subway stations   Under the city. Where is my alley doorway?Stone gable, brick escarpment, cliffs of crystal.   Where is my terraced street above the harbor,   Café and hidden workshop, house of love?Webbed vault, tiled blackness. Where is my park, the pathThrough conifers, my iron bench, a shiver   Of ivy and margin birch above the traffic?   A voice. There is a mountain and a woodBetween us—",Robert Pinsky,Fear
Recycling Center,"The labeled bins on the California hillsidecatch the glint and quarter-glint of passing cars.Families pull up with their interesting trashand start unloading: Here, sweetheart,this goes over in Newspaper. The bundlehits with a thud. Diet soda cansspin almost noiselessly down, and the sun-permitting bottles from a day’s pleasureare tossed into Mixed Glass by the childrenwho like to hear the smash, unknowable, chaotic,as matter greets itself and starts to change.What mystery is inside a thing! If we peeredinto the bin, we could see it waiting there,could believe everything is alive and specificand personal, could tell by the tilt of onebottle against the next that it’s difficultto be singular, to have identity, to keepan outline safe in the terrors of space.Even the child knows this. Bye, bottle! she shouts,tossing it in; and the bottle lies therein the two o’clock position, temporarily itself,before being swept into the destiny of mixture. . .And what if some don’t want to. What if some itemsin the piles of paper, the orange and blueenvelopes from a magazine sweepstakes, numberspressing through the cloudy windowswith our names, some among those pale sheets curledwith moisture, would rather stay as they are.It’s spring; we’ve thrown away mistakes—tax forms, recipes, tennis-ball-sizeddrafts of poems—that which was blankshall be made blank again—but what ifthat failed letter wants to be a failure,not go back to pulp, and thought .. .Or across the parking lot, where light insistson changing the dull cans, a few cans don’t wantto be changed, though they should want to,shouldn’t they, should want to be changedby light, light which is called sweet reason,honeyed, spectra, magnitude, light that goesfrom the parking lot looking helplessthough it is matter that has been betrayed. . .All afternoon the bins are carried offby those who know about where things should go,who are used to the clatter the cans make,pouring out; and the families, who believed changewould heal them are pulling away in their vans,slightly embarrassed by that which refused . . .The bins fill again with hard substances,the hills bear down with their fugitive gold,the pampas grass bending low to protectwhat was briefly certain and alive with hope.",Brenda Hillman,Surprise
1 January 1965,"The Wise Men will unlearn your name.Above your head no star will flame.One weary sound will be the same—the hoarse roar of the gale.The shadows fall from your tired eyesas your lone bedside candle dies,for here the calendar breeds nightstill stores of candles fail.What prompts this melancholy key?A long familiar melody.It sounds again. So let it be.Let it sound from this night.Let it sound in my hour of  death—as gratefulness of eyes and lipsfor that which sometimes makes us liftour gaze to the far sky.You glare in silence at the wall.Your stocking gapes: no gifts at all.It's clear that you are now too oldto trust in good Saint Nick;that it's too late for miracles.—But suddenly, lifting your eyesto heaven's light, you realize:your life is a sheer gift.",Joseph Brodsky,Sadness
Song of Napalm,"for my wifeAfter the storm, after the rain stopped pounding,We stood in the doorway watching horsesWalk off lazily across the pasture’s hill.We stared through the black screen,Our vision altered by the distanceSo I thought I saw a mistKicked up around their hooves when they fadedLike cut-out horsesAway from us.The grass was never more blue in that light, moreScarlet; beyond the pastureTrees scraped their voices into the wind, branchesCrisscrossed the sky like barbed wireBut you said they were only branches.Okay. The storm stopped pounding.I am trying to say this straight: for onceI was sane enough to pause and breatheOutside my wild plans and after the hard rainI turned my back on the old curses. I believedThey swung finally away from me ...But still the branches are wireAnd thunder is the pounding mortar,Still I close my eyes and see the girlRunning from her village, napalmStuck to her dress like jelly,Her hands reaching for the no oneWho waits in waves of heat before her.So I can keep on living,So I can stay here beside you,I try to imagine she runs down the road and wingsBeat inside her until she risesAbove the stinking jungle and her painEases, and your pain, and mine.But the lie swings back again.The lie works only as long as it takes to speakAnd the girl runs only as farAs the napalm allowsUntil her burning tendons and cracklingMuscles draw her upinto that final positionBurning bodies so perfectly assume. NothingCan change that; she is burned behind my eyesAnd not your good love and not the rain-swept airAnd not the jungle greenPasture unfolding before us can deny it.",Bruce Weigl,Fear
